scenario,ir100,pia,nnt,ir100.B,pia.B,nnt.B,ir100.H,pia.H,nnt.H,ir100.W,pia.W,nnt.W,testspy,pytest,prep,dx,dx.delay,vl.supp,vl.supp.all,testspy.B,pytest.B,prep.B,dx.B,dx.delay.B,vl.supp.B,vl.supp.all.B,testspy.H,pytest.H,prep.H,dx.H,dx.delay.H,vl.supp.H,vl.supp.all.H,testspy.W,pytest.W,prep.W,dx.W,dx.delay.W,vl.supp.W,vl.supp.all.W
6500,"1.27 (1.06, 1.51)",NA,NA,"2.55 (2.04, 3.06)",NA,NA,"0.69 (0.20, 1.63)",NA,NA,"0.37 (0.25, 0.59)",NA,NA,"0.52 (0.51, 0.53)","30.0 (29.2, 30.6)","14.4 (14.4, 14.4)","83.4 (81.8, 84.4)","3.49 (3.35, 3.61)","58.1 (56.6, 59.9)","48.6 (47.3, 50.2)","0.34 (0.33, 0.35)","20.9 (20.0, 22.4)","9.8 (9.8, 9.8)","82.1 (80.3, 83.2)","3.68 (3.53, 3.84)","54.9 (53.5, 57.3)","45.4 (44.1, 47.2)","0.40 (0.37, 0.43)","23.1 (19.3, 26.9)","9.1 (9.1, 9.1)","81.0 (75.7, 87.2)","3.91 (2.95, 5.07)","57.8 (50.4, 67.4)","48.3 (39.3, 56.4)","0.68 (0.67, 0.70)","37.9 (36.7, 38.9)","17.8 (17.8, 17.8)","89.7 (87.6, 91.7)","2.54 (2.32, 2.74)","71.4 (65.9, 73.9)","64.5 (58.9, 67.5)"
6501,"0.81 (0.61, 0.99)","29.0 (28.2, 29.9)","126 (122, 131)","1.59 (1.12, 2.08)","27.7 (26.8, 28.5)","51 (49, 53)","0.57 (0.17, 1.23)","29.1 (25.7, 32.1)","141 (121, 170)","0.20 (0.08, 0.36)","36.8 (34.7, 38.2)","390 (372, 416)","0.92 (0.91, 0.94)","50.4 (49.3, 51.4)","26.0 (26.0, 26.0)","93.3 (92.3, 94.3)","3.02 (2.95, 3.15)","72.4 (71.2, 73.6)","67.7 (66.2, 68.8)","0.63 (0.62, 0.65)","38.7 (37.4, 40.2)","19.6 (19.6, 19.6)","92.7 (91.5, 93.9)","3.19 (3.09, 3.36)","70.3 (69.0, 72.1)","65.4 (63.8, 67.4)","0.70 (0.67, 0.74)","40.5 (34.8, 43.6)","20.1 (20.1, 20.1)","92.3 (84.2, 96.4)","3.17 (2.53, 4.14)","72.5 (67.7, 79.4)","66.5 (60.2, 75.1)","1.17 (1.15, 1.19)","60.6 (59.4, 61.8)","30.8 (30.8, 30.8)","96.8 (95.0, 98.1)","2.05 (1.81, 2.35)","81.2 (77.6, 85.2)","78.7 (75.0, 82.8)"
6502,"0.36 (0.23, 0.52)","55.4 (54.7, 56.0)","205 (202, 209)","0.73 (0.48, 1.05)","54.1 (53.4, 54.7)","86 (85, 88)","0.19 (0.00, 0.79)","56.8 (54.1, 58.9)","276 (258, 294)","0.10 (0.04, 0.18)","61.5 (60.4, 62.5)","693 (676, 710)","1.74 (1.73, 1.76)","79.8 (79.2, 80.7)","46.6 (46.6, 46.6)","98.6 (98.0, 99.0)","2.55 (2.42, 2.68)","84.4 (83.3, 85.8)","83.2 (82.3, 84.7)","1.30 (1.28, 1.32)","70.0 (69.0, 71.9)","38.4 (38.4, 38.4)","98.5 (97.9, 99.0)","2.67 (2.56, 2.81)","83.3 (82.1, 84.8)","82.1 (81.0, 83.8)","1.43 (1.39, 1.48)","70.8 (67.8, 74.1)","35.8 (35.8, 35.8)","98.7 (95.5, 100.0)","2.74 (2.26, 3.77)","83.2 (75.9, 89.2)","81.4 (75.5, 87.9)","2.14 (2.12, 2.15)","88.7 (87.9, 89.3)","53.4 (53.4, 53.4)","99.2 (98.7, 100.0)","1.69 (1.52, 1.92)","89.8 (87.7, 91.7)","89.2 (87.5, 90.9)"
6503,"0.28 (0.17, 0.37)","66.6 (66.2, 67.1)","296 (293, 299)","0.52 (0.30, 0.78)","65.3 (64.8, 65.8)","129 (128, 131)","0.09 (0.00, 0.41)","71.1 (69.3, 72.8)","389 (372, 405)","0.06 (0.02, 0.12)","72.3 (71.4, 73.3)","993 (972, 1016)","2.61 (2.60, 2.63)","94.1 (93.7, 94.5)","66.3 (66.3, 66.3)","99.5 (99.1, 99.7)","2.43 (2.34, 2.54)","89.4 (88.4, 90.7)","89.1 (87.9, 90.3)","2.05 (2.03, 2.07)","89.8 (89.0, 90.5)","57.8 (57.8, 57.8)","99.4 (99.0, 99.7)","2.51 (2.42, 2.63)","88.6 (87.7, 90.3)","88.2 (87.0, 89.9)","2.20 (2.14, 2.28)","90.3 (88.1, 92.4)","53.4 (53.4, 53.4)","100.0 (97.3, 100.0)","2.85 (2.22, 3.54)","88.1 (83.0, 94.2)","87.6 (81.6, 93.4)","3.12 (3.10, 3.14)","98.1 (97.7, 98.4)","73.8 (73.8, 73.8)","99.7 (99.4, 100.0)","1.70 (1.41, 1.90)","93.2 (90.7, 95.0)","93.1 (90.6, 94.7)"
