scenario,ir100,pia,nnt,ir100.B,pia.B,nnt.B,ir100.H,pia.H,nnt.H,ir100.W,pia.W,nnt.W,testspy,pytest,prep,dx,dx.delay,vl.supp,vl.supp.all,testspy.B,pytest.B,prep.B,dx.B,dx.delay.B,vl.supp.B,vl.supp.all.B,testspy.H,pytest.H,prep.H,dx.H,dx.delay.H,vl.supp.H,vl.supp.all.H,testspy.W,pytest.W,prep.W,dx.W,dx.delay.W,vl.supp.W,vl.supp.all.W
6504,"1.18 (0.98, 1.46)",NA,NA,"2.40 (1.89, 2.96)",NA,NA,"0.70 (0.20, 1.38)",NA,NA,"0.38 (0.25, 0.52)",NA,NA,"0.62 (0.62, 0.63)","38.6 (37.9, 39.3)","13.8 (13.8, 13.8)","87.1 (85.9, 88.5)","2.99 (2.89, 3.14)","57.7 (56.4, 59.9)","50.6 (49.0, 52.2)","0.50 (0.48, 0.51)","31.0 (30.1, 32.0)","14.2 (14.2, 14.2)","86.5 (84.8, 88.0)","3.20 (3.05, 3.35)","55.3 (53.5, 57.2)","48.0 (46.0, 49.6)","0.58 (0.54, 0.61)","33.9 (30.8, 36.7)","11.1 (11.1, 11.1)","84.8 (79.7, 91.1)","3.52 (2.84, 4.42)","57.0 (49.5, 67.0)","48.2 (41.6, 57.1)","0.73 (0.71, 0.74)","45.1 (43.9, 46.1)","13.8 (13.8, 13.8)","91.5 (88.9, 93.7)","1.89 (1.63, 2.23)","70.2 (66.4, 74.0)","64.5 (60.9, 68.1)"
6505,"0.85 (0.55, 1.06)","22.9 (21.8, 24.0)","91 (86, 95)","1.66 (1.07, 2.10)","22.7 (21.5, 24.0)","34 (32, 36)","0.41 (0.17, 1.02)","26.3 (23.2, 29.5)","84 (71, 106)","0.25 (0.15, 0.42)","24.0 (21.6, 26.2)","345 (312, 384)","0.84 (0.83, 0.85)","53.5 (52.5, 54.3)","15.1 (15.1, 15.1)","94.3 (93.3, 95.2)","2.59 (2.51, 2.74)","72.0 (70.6, 73.6)","68.1 (66.4, 69.6)","0.66 (0.64, 0.67)","44.3 (43.1, 45.3)","14.4 (14.4, 14.4)","93.8 (92.7, 94.9)","2.79 (2.66, 2.92)","69.9 (68.7, 71.9)","65.8 (64.2, 67.6)","0.74 (0.69, 0.78)","46.5 (41.2, 49.3)","17.0 (17.0, 17.0)","94.5 (90.5, 97.8)","3.26 (2.57, 4.00)","73.2 (63.5, 79.9)","69.3 (60.8, 78.6)","1.00 (0.99, 1.02)","61.4 (60.1, 62.9)","15.4 (15.4, 15.4)","96.5 (94.9, 97.8)","1.47 (1.28, 1.65)","81.6 (78.7, 85.3)","78.8 (76.3, 81.7)"
6506,"0.54 (0.39, 0.71)","40.9 (40.0, 41.9)","202 (196, 208)","1.04 (0.71, 1.48)","40.6 (39.7, 41.6)","74 (72, 76)","0.20 (0.00, 0.83)","45.5 (41.7, 48.7)","208 (190, 234)","0.14 (0.07, 0.25)","42.1 (40.3, 43.8)","797 (751, 843)","1.49 (1.47, 1.50)","78.7 (77.9, 79.5)","14.6 (14.6, 14.6)","98.2 (97.6, 98.7)","2.02 (1.93, 2.14)","84.4 (83.3, 86.2)","83.1 (81.6, 84.8)","1.10 (1.08, 1.11)","69.4 (68.2, 70.9)","14.4 (14.4, 14.4)","98.1 (97.4, 98.7)","2.16 (2.05, 2.32)","83.2 (81.9, 85.7)","81.9 (80.2, 84.0)","1.19 (1.15, 1.23)","70.5 (66.9, 73.9)","14.2 (14.2, 14.2)","98.8 (95.8, 100.0)","2.82 (2.17, 3.42)","85.9 (77.4, 92.3)","84.2 (75.6, 91.5)","1.83 (1.81, 1.84)","86.9 (86.0, 87.8)","14.7 (14.7, 14.7)","99.0 (98.2, 99.8)","0.99 (0.86, 1.09)","89.7 (86.8, 92.3)","88.9 (85.9, 91.7)"
6507,"0.43 (0.30, 0.57)","48.5 (47.8, 49.2)","385 (378, 393)","0.85 (0.54, 1.15)","48.1 (47.4, 48.8)","140 (137, 143)","0.20 (0.00, 0.61)","53.0 (50.6, 55.6)","406 (375, 435)","0.12 (0.04, 0.18)","50.1 (48.7, 51.3)","1517 (1464, 1579)","2.57 (2.55, 2.59)","93.4 (92.8, 93.6)","15.4 (15.4, 15.4)","99.2 (98.8, 99.5)","1.79 (1.69, 1.87)","89.4 (88.3, 90.6)","88.7 (87.6, 90.0)","1.83 (1.82, 1.85)","88.5 (87.2, 89.2)","15.3 (15.3, 15.3)","99.1 (98.6, 99.5)","1.91 (1.81, 2.01)","88.6 (87.6, 90.0)","87.9 (86.8, 89.5)","1.95 (1.87, 2.03)","89.1 (86.6, 91.8)","13.0 (13.0, 13.0)","98.8 (97.0, 100.0)","2.57 (2.05, 3.11)","90.7 (82.4, 95.1)","88.9 (81.2, 94.9)","3.22 (3.19, 3.25)","97.6 (97.3, 98.1)","15.6 (15.6, 15.6)","99.7 (98.7, 100.0)","0.79 (0.70, 0.87)","92.4 (90.5, 94.5)","92.3 (90.1, 94.3)"
