scenario,ir100,pia,ir100.B,pia.B,ir100.H,pia.H,ir100.W,pia.W,link1m,vl.supp,vl.supp.all,link1m.B,vl.supp.B,vl.supp.all.B,link1m.H,vl.supp.H,vl.supp.all.H,link1m.W,vl.supp.W,vl.supp.all.W
4000,"1.28 (1.00, 1.61)",NA,"2.59 (1.98, 3.32)",NA,"0.79 (0.19, 1.70)",NA,"0.38 (0.20, 0.59)",NA,"64.7 (61.8, 67.8)","58.3 (56.4, 60.4)","48.9 (47.0, 50.9)","62.0 (58.6, 65.7)","55.3 (53.0, 57.6)","45.7 (43.5, 47.8)","64.7 (47.4, 81.1)","58.8 (46.8, 69.6)","47.7 (37.6, 57.8)","76.3 (69.8, 82.8)","71.3 (67.1, 75.3)","64.2 (59.8, 68.7)"
4001,"1.08 (0.82, 1.38)","10.4 (10.2, 10.7)","2.18 (1.60, 2.85)","10.3 (10.0, 10.5)","0.59 (0.00, 1.55)","11.4 (10.6, 12.5)","0.31 (0.16, 0.50)","11.1 (10.6, 11.6)","64.8 (61.5, 67.8)","67.2 (65.3, 68.9)","57.2 (55.2, 59.0)","62.2 (58.6, 65.9)","64.6 (62.4, 66.6)","54.2 (51.9, 56.3)","65.4 (46.7, 82.2)","67.5 (56.5, 77.2)","56.4 (44.8, 66.3)","76.6 (69.8, 82.6)","78.1 (74.4, 82.6)","71.3 (67.2, 75.5)"
4002,"0.96 (0.72, 1.26)","16.3 (16.1, 16.6)","1.93 (1.39, 2.57)","15.9 (15.7, 16.1)","0.58 (0.00, 1.38)","18.2 (17.3, 19.0)","0.28 (0.12, 0.45)","17.8 (17.3, 18.3)","64.6 (61.5, 68.0)","72.6 (70.9, 74.5)","62.4 (60.5, 64.4)","62.1 (58.5, 65.9)","70.4 (68.4, 72.6)","59.6 (57.7, 62.0)","65.4 (47.2, 82.6)","72.9 (62.1, 82.4)","61.6 (51.0, 71.1)","76.2 (69.3, 83.0)","82.1 (78.3, 85.5)","75.3 (71.5, 79.0)"
4003,"0.71 (0.51, 0.95)","28.8 (28.6, 29.0)","1.41 (0.98, 1.94)","28.3 (28.0, 28.5)","0.39 (0.00, 1.00)","30.2 (29.5, 31.0)","0.20 (0.08, 0.35)","31.1 (30.7, 31.5)","64.7 (61.5, 67.8)","84.7 (83.3, 86.2)","74.5 (72.7, 76.3)","62.3 (58.7, 66.0)","83.5 (81.8, 85.1)","72.5 (70.4, 74.5)","65.2 (45.5, 81.8)","84.3 (76.1, 92.2)","73.2 (63.8, 82.3)","76.3 (68.8, 83.6)","90.3 (87.5, 93.0)","84.3 (81.1, 87.7)"
4004,"0.60 (0.42, 0.83)","33.5 (33.3, 33.7)","1.19 (0.82, 1.68)","33.1 (32.9, 33.3)","0.38 (0.00, 1.00)","35.5 (34.8, 36.4)","0.16 (0.06, 0.31)","35.4 (35.0, 35.8)","64.7 (61.2, 68.0)","89.6 (88.3, 90.8)","79.6 (77.7, 81.4)","62.3 (58.1, 66.1)","88.8 (87.3, 90.2)","77.9 (75.8, 79.9)","65.5 (45.4, 82.8)","89.2 (81.4, 95.5)","77.9 (69.1, 86.3)","76.6 (67.7, 83.6)","93.3 (90.7, 95.5)","87.7 (84.6, 90.9)"
4005,"0.54 (0.37, 0.75)","36.3 (36.1, 36.5)","1.08 (0.69, 1.54)","35.8 (35.6, 36.0)","0.20 (0.00, 0.96)","38.0 (37.2, 38.7)","0.14 (0.06, 0.27)","38.6 (38.3, 39.0)","64.7 (61.4, 68.1)","92.2 (91.1, 93.4)","82.3 (80.5, 84.1)","62.2 (58.5, 66.0)","91.6 (90.4, 93.0)","80.9 (78.9, 82.9)","65.5 (47.3, 83.3)","91.7 (84.5, 97.1)","80.8 (71.2, 88.5)","76.8 (68.9, 84.2)","94.9 (92.6, 96.8)","89.6 (86.5, 92.5)"
4007,"1.27 (1.00, 1.58)","0.5 (0.2, 0.8)","2.55 (1.99, 3.23)","0.4 (0.2, 0.7)","0.79 (0.19, 1.75)","1.9 (0.0, 2.4)","0.38 (0.22, 0.58)","0.5 (0.0, 1.0)","64.7 (61.7, 67.5)","58.3 (56.4, 60.2)","48.9 (47.1, 50.8)","62.1 (58.8, 65.3)","55.3 (53.1, 57.5)","45.7 (43.6, 47.8)","64.9 (47.2, 80.8)","58.8 (47.2, 69.3)","47.8 (37.2, 58.1)","76.4 (69.8, 83.0)","71.4 (67.0, 75.2)","64.3 (59.8, 68.5)"
4008,"1.01 (0.76, 1.30)","14.0 (13.8, 14.3)","2.01 (1.44, 2.60)","14.3 (14.0, 14.5)","0.59 (0.00, 1.44)","14.3 (13.2, 15.0)","0.31 (0.16, 0.48)","13.0 (12.5, 13.4)","64.8 (61.7, 68.0)","70.3 (68.4, 72.1)","60.2 (58.3, 62.1)","62.3 (58.6, 65.9)","70.5 (68.5, 72.5)","59.6 (57.5, 61.7)","65.0 (46.7, 82.1)","58.2 (46.5, 69.1)","48.8 (37.9, 59.0)","76.3 (69.9, 82.6)","71.0 (66.3, 75.1)","64.9 (60.0, 69.2)"
4009,"0.77 (0.57, 1.03)","25.2 (25.0, 25.4)","1.52 (1.08, 2.04)","25.6 (25.4, 25.8)","0.40 (0.00, 1.19)","23.9 (23.1, 25.0)","0.24 (0.12, 0.40)","23.5 (23.0, 23.9)","64.8 (61.6, 67.8)","80.4 (78.8, 82.2)","70.3 (68.2, 72.4)","62.2 (58.6, 65.9)","83.6 (81.9, 85.2)","72.2 (70.0, 74.3)","65.2 (45.8, 82.8)","57.5 (45.9, 68.6)","48.9 (38.7, 59.8)","76.5 (69.1, 83.2)","70.7 (66.2, 75.1)","65.3 (60.7, 70.1)"
4010,"0.69 (0.50, 0.94)","29.2 (29.0, 29.4)","1.34 (0.93, 1.87)","29.8 (29.6, 30.0)","0.39 (0.00, 1.13)","27.4 (26.7, 28.2)","0.22 (0.10, 0.37)","26.9 (26.5, 27.3)","64.9 (61.5, 68.2)","84.6 (83.3, 86.1)","74.5 (72.7, 76.4)","62.3 (58.6, 66.0)","88.9 (87.5, 90.2)","77.4 (75.4, 79.5)","65.5 (46.7, 82.6)","57.4 (45.4, 70.6)","49.4 (38.6, 61.2)","76.5 (69.4, 83.3)","70.6 (66.1, 74.8)","65.6 (61.3, 70.0)"
4011,"0.63 (0.43, 0.87)","31.6 (31.4, 31.8)","1.23 (0.81, 1.73)","32.2 (32.0, 32.4)","0.38 (0.00, 0.99)","30.3 (29.7, 31.2)","0.20 (0.08, 0.35)","29.2 (28.8, 29.6)","64.7 (61.7, 68.0)","86.8 (85.6, 88.1)","76.9 (75.0, 78.7)","62.2 (58.7, 65.9)","91.6 (90.4, 92.9)","80.3 (78.3, 82.3)","65.4 (47.6, 82.8)","57.8 (46.1, 69.2)","50.0 (38.8, 60.8)","76.6 (69.2, 83.3)","70.5 (66.0, 74.8)","65.6 (61.3, 70.3)"
